Novak,Djokovic,SRB,1
Daniil,Medvedev,RUS,2
Rafael,Nadal,ESP,3
Stefanos,Tsitsipas,GRC,4
Alexander,Zverev,GER,5
Dominic,Thiem,AUT,6
Andrey,Rublev,RUS,7
Matteo,Berrettini,ITA,8
Roger,Federer,SWI,9
Denis,Sharapovalov,CAN,10
Pablo,Busta,ESP,11
Hubert,Hurkacz,POL,12
Diego,Schawratzman,ARG,13
Casper,Ruud,NOR,14
Felix,Aliassime,CAN,15
Roberto,Agut,ESP,16
